Ok(Profile { program: Program2, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 100.523575, time_max: 105.14868, time_mean: 102.150764, time_stdev: 1.4792192 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 5000, col_count: 5000, element_count: 25000000, element_sum: 62487500000, time_min: 558.37354, time_max: 571.7581, time_mean: 563.4465, time_stdev: 4.089404 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 6000, col_count: 6000, element_count: 36000000, element_sum: 107982000000, time_min: 15.17227, time_max: 18.48805, time_mean: 16.98751, time_stdev: 0.85744655 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 6000, col_count: 6000, element_count: 36000000, element_sum: 107982000000, time_min: 174.21414, time_max: 178.09418, time_mean: 176.16559, time_stdev: 1.2501987 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 6000, col_count: 6000, element_count: 36000000, element_sum: 107982000000, time_min: 1091.5293, time_max: 1107.0353, time_mean: 1096.7086, time_stdev: 5.0269713 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 7000, col_count: 7000, element_count: 49000000, element_sum: 171475500000, time_min: 21.945919, time_max: 24.299923, time_mean: 23.417515, time_stdev: 0.64762443 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 7000, col_count: 7000, element_count: 49000000, element_sum: 171475500000, time_min: 197.53467, time_max: 202.2244, time_mean: 199.76112, time_stdev: 1.5688804 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 7000, col_count: 7000, element_count: 49000000, element_sum: 171475500000, time_min: 1378.3401, time_max: 1390.2361, time_mean: 1383.6604, time_stdev: 3.6054335 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 8000, col_count: 8000, element_count: 64000000, element_sum: 255968000000, time_min: 29.136335, time_max: 31.5178, time_mean: 30.255905, time_stdev: 0.7190847 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 8000, col_count: 8000, element_count: 64000000, element_sum: 255968000000, time_min: 397.1256, time_max: 419.15652, time_mean: 406.97275, time_stdev: 6.450395 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 8000, col_count: 8000, element_count: 64000000, element_sum: 255968000000, time_min: 2109.104, time_max: 2214.0483, time_mean: 2140.2283, time_stdev: 30.714 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 9000, col_count: 9000, element_count: 81000000, element_sum: 364459500000, time_min: 35.895626, time_max: 39.571793, time_mean: 38.43668, time_stdev: 0.9876687 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 9000, col_count: 9000, element_count: 81000000, element_sum: 364459500000, time_min: 335.2501, time_max: 342.5807, time_mean: 338.8399, time_stdev: 2.2969248 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 9000, col_count: 9000, element_count: 81000000, element_sum: 364459500000, time_min: 2620.2275, time_max: 2676.4304, time_mean: 2633.2097, time_stdev: 15.905051 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 10000, col_count: 10000, element_count: 100000000, element_sum: 499950000000, time_min: 45.587906, time_max: 50.465214, time_mean: 48.65992, time_stdev: 1.24545 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 10000, col_count: 10000, element_count: 100000000, element_sum: 499950000000, time_min: 532.28455, time_max: 549.4875, time_mean: 538.1419, time_stdev: 5.6723647 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 10000, col_count: 10000, element_count: 100000000, element_sum: 499950000000, time_min: 3481.1047, time_max: 3498.044, time_mean: 3488.3918, time_stdev: 5.113347 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 11000, col_count: 11000, element_count: 121000000, element_sum: 665439500000, time_min: 56.77372, time_max: 59.224007, time_mean: 58.08352, time_stdev: 0.889628 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 11000, col_count: 11000, element_count: 121000000, element_sum: 665439500000, time_min: 520.44763, time_max: 545.98193, time_mean: 527.42523, time_stdev: 7.7150755 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 11000, col_count: 11000, element_count: 121000000, element_sum: 665439500000, time_min: 4095.1182, time_max: 4203.3574, time_mean: 4129.3726, time_stdev: 39.941322 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 12000, col_count: 12000, element_count: 144000000, element_sum: 863928000000, time_min: 67.27895, time_max: 71.17364, time_mean: 69.124916, time_stdev: 1.1965857 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 12000, col_count: 12000, element_count: 144000000, element_sum: 863928000000, time_min: 741.9316, time_max: 759.329, time_mean: 750.59656, time_stdev: 5.0967617 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 12000, col_count: 12000, element_count: 144000000, element_sum: 863928000000, time_min: 4762.0, time_max: 4853.0356, time_mean: 4803.672, time_stdev: 23.432058 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 13000, col_count: 13000, element_count: 169000000, element_sum: 1098415500000, time_min: 79.38035, time_max: 84.10405, time_mean: 81.57553, time_stdev: 1.4685533 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 13000, col_count: 13000, element_count: 169000000, element_sum: 1098415500000, time_min: 753.70953, time_max: 764.49524, time_mean: 757.7863, time_stdev: 3.3017533 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 13000, col_count: 13000, element_count: 169000000, element_sum: 1098415500000, time_min: 5638.019, time_max: 5663.118, time_mean: 5644.2144, time_stdev: 6.6884103 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 14000, col_count: 14000, element_count: 196000000, element_sum: 1371902000000, time_min: 91.64523, time_max: 96.6835, time_mean: 93.689316, time_stdev: 1.806719 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 14000, col_count: 14000, element_count: 196000000, element_sum: 1371902000000, time_min: 1104.5211, time_max: 1113.8228, time_mean: 1108.2823, time_stdev: 3.171103 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 14000, col_count: 14000, element_count: 196000000, element_sum: 1371902000000, time_min: 6912.9536, time_max: 6940.1196, time_mean: 6924.1157, time_stdev: 7.1245537 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 15000, col_count: 15000, element_count: 225000000, element_sum: 1687387500000, time_min: 104.149826, time_max: 113.5153, time_mean: 107.55498, time_stdev: 2.5788717 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 15000, col_count: 15000, element_count: 225000000, element_sum: 1687387500000, time_min: 1020.3571, time_max: 1031.456, time_mean: 1024.3009, time_stdev: 3.72238 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 15000, col_count: 15000, element_count: 225000000, element_sum: 1687387500000, time_min: 7740.322, time_max: 7941.005, time_mean: 7766.0205, time_stdev: 58.529854 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 16000, col_count: 16000, element_count: 256000000, element_sum: 2047872000000, time_min: 119.274864, time_max: 129.69534, time_mean: 123.73451, time_stdev: 2.871848 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 16000, col_count: 16000, element_count: 256000000, element_sum: 2047872000000, time_min: 1758.9003, time_max: 1796.5405, time_mean: 1771.4174, time_stdev: 12.5904 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 16000, col_count: 16000, element_count: 256000000, element_sum: 2047872000000, time_min: 11873.982, time_max: 12249.654, time_mean: 12090.318, time_stdev: 130.06998 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 17000, col_count: 17000, element_count: 289000000, element_sum: 2456355500000, time_min: 134.82317, time_max: 142.38481, time_mean: 139.15366, time_stdev: 2.2895112 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 17000, col_count: 17000, element_count: 289000000, element_sum: 2456355500000, time_min: 1321.021, time_max: 1348.4727, time_mean: 1328.1787, time_stdev: 8.600157 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 17000, col_count: 17000, element_count: 289000000, element_sum: 2456355500000, time_min: 9869.463, time_max: 9923.739, time_mean: 9904.854, time_stdev: 14.0346 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 18000, col_count: 18000, element_count: 324000000, element_sum: 2915838000000, time_min: 153.0024, time_max: 163.28711, time_mean: 156.90761, time_stdev: 3.338665 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 18000, col_count: 18000, element_count: 324000000, element_sum: 2915838000000, time_min: 1859.5046, time_max: 1881.9569, time_mean: 1866.4402, time_stdev: 6.7393055 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 18000, col_count: 18000, element_count: 324000000, element_sum: 2915838000000, time_min: 11530.282, time_max: 11561.548, time_mean: 11540.622, time_stdev: 8.968157 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 19000, col_count: 19000, element_count: 361000000, element_sum: 3429319500000, time_min: 168.26064, time_max: 181.16493, time_mean: 173.39255, time_stdev: 3.4589956 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 19000, col_count: 19000, element_count: 361000000, element_sum: 3429319500000, time_min: 1657.6677, time_max: 1677.004, time_mean: 1663.9949, time_stdev: 5.8885756 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 19000, col_count: 19000, element_count: 361000000, element_sum: 3429319500000, time_min: 11840.016, time_max: 11908.921, time_mean: 11862.7, time_stdev: 17.211119 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 20000, col_count: 20000, element_count: 400000000, element_sum: 3999800000000, time_min: 184.10487, time_max: 199.86752, time_mean: 191.59642, time_stdev: 4.3821974 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 20000, col_count: 20000, element_count: 400000000, element_sum: 3999800000000, time_min: 2201.6284, time_max: 2295.5105, time_mean: 2227.7036, time_stdev: 24.761593 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 20000, col_count: 20000, element_count: 400000000, element_sum: 3999800000000, time_min: 12347.869, time_max: 12690.355, time_mean: 12458.328, time_stdev: 98.937126 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 21000, col_count: 21000, element_count: 441000000, element_sum: 4630279500000, time_min: 206.61195, time_max: 222.29544, time_mean: 212.08887, time_stdev: 4.6520023 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 21000, col_count: 21000, element_count: 441000000, element_sum: 4630279500000, time_min: 2054.1687, time_max: 2076.3198, time_mean: 2060.5151, time_stdev: 7.6947403 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 21000, col_count: 21000, element_count: 441000000, element_sum: 4630279500000, time_min: 15965.287, time_max: 16192.316, time_mean: 16071.584, time_stdev: 71.7648 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 22000, col_count: 22000, element_count: 484000000, element_sum: 5323758000000, time_min: 223.03056, time_max: 234.07559, time_mean: 229.5782, time_stdev: 2.8766963 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 22000, col_count: 22000, element_count: 484000000, element_sum: 5323758000000, time_min: 2839.2766, time_max: 2859.5105, time_mean: 2843.1616, time_stdev: 5.6596527 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 22000, col_count: 22000, element_count: 484000000, element_sum: 5323758000000, time_min: 17601.316, time_max: 17696.688, time_mean: 17632.615, time_stdev: 30.345854 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 23000, col_count: 23000, element_count: 529000000, element_sum: 6083235500000, time_min: 247.20326, time_max: 255.15431, time_mean: 251.55716, time_stdev: 2.3091328 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 23000, col_count: 23000, element_count: 529000000, element_sum: 6083235500000, time_min: 2474.109, time_max: 2494.2922, time_mean: 2478.0815, time_stdev: 5.645298 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 23000, col_count: 23000, element_count: 529000000, element_sum: 6083235500000, time_min: 18382.57, time_max: 18438.041, time_mean: 18410.541, time_stdev: 15.619179 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 24000, col_count: 24000, element_count: 576000000, element_sum: 6911712000000, time_min: 267.94635, time_max: 279.51892, time_mean: 273.37823, time_stdev: 3.1940715 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 24000, col_count: 24000, element_count: 576000000, element_sum: 6911712000000, time_min: 3808.64, time_max: 3892.4888, time_mean: 3849.7156, time_stdev: 28.81281 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 24000, col_count: 24000, element_count: 576000000, element_sum: 6911712000000, time_min: 23477.432, time_max: 23709.174, time_mean: 23567.926, time_stdev: 67.44396 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 25000, col_count: 25000, element_count: 625000000, element_sum: 7812187500000, time_min: 286.4846, time_max: 305.8585, time_mean: 295.72913, time_stdev: 4.779146 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 25000, col_count: 25000, element_count: 625000000, element_sum: 7812187500000, time_min: 2955.3503, time_max: 2978.9739, time_mean: 2960.4233, time_stdev: 6.459792 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 25000, col_count: 25000, element_count: 625000000, element_sum: 7812187500000, time_min: 23003.656, time_max: 23100.744, time_mean: 23059.031, time_stdev: 36.184364 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 26000, col_count: 26000, element_count: 676000000, element_sum: 8787662000000, time_min: 310.9247, time_max: 324.98712, time_mean: 319.7646, time_stdev: 3.7663438 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 26000, col_count: 26000, element_count: 676000000, element_sum: 8787662000000, time_min: 4036.0508, time_max: 4047.999, time_mean: 4040.3118, time_stdev: 3.7932587 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 26000, col_count: 26000, element_count: 676000000, element_sum: 8787662000000, time_min: 25060.324, time_max: 25164.299, time_mean: 25103.084, time_stdev: 28.058409 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 27000, col_count: 27000, element_count: 729000000, element_sum: 9841135500000, time_min: 341.4164, time_max: 350.5311, time_mean: 345.39423, time_stdev: 2.4824605 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 27000, col_count: 27000, element_count: 729000000, element_sum: 9841135500000, time_min: 3460.1716, time_max: 3469.21, time_mean: 3464.2903, time_stdev: 3.0335047 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 27000, col_count: 27000, element_count: 729000000, element_sum: 9841135500000, time_min: 26961.707, time_max: 27093.99, time_mean: 27034.49, time_stdev: 48.932793 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 28000, col_count: 28000, element_count: 784000000, element_sum: 10975608000000, time_min: 364.89725, time_max: 374.73947, time_mean: 370.78403, time_stdev: 2.652678 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 28000, col_count: 28000, element_count: 784000000, element_sum: 10975608000000, time_min: 4669.313, time_max: 4757.0522, time_mean: 4704.415, time_stdev: 28.562822 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 28000, col_count: 28000, element_count: 784000000, element_sum: 10975608000000, time_min: 27783.344, time_max: 28003.611, time_mean: 27850.813, time_stdev: 59.890816 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 29000, col_count: 29000, element_count: 841000000, element_sum: 12194079500000, time_min: 391.99506, time_max: 404.50986, time_mean: 396.13864, time_stdev: 3.5975761 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 29000, col_count: 29000, element_count: 841000000, element_sum: 12194079500000, time_min: 3999.4429, time_max: 4007.4312, time_mean: 4003.4727, time_stdev: 2.4286454 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 29000, col_count: 29000, element_count: 841000000, element_sum: 12194079500000, time_min: 31098.541, time_max: 31290.617, time_mean: 31228.553, time_stdev: 51.47916 })
Ok(Profile { program: Program1, repetitions: 10, row_count: 30000, col_count: 30000, element_count: 900000000, element_sum: 13499550000000, time_min: 420.9141, time_max: 444.4895, time_mean: 426.48407, time_stdev: 7.0365715 })
Ok(Profile { program: Program2, repetitions: 10, row_count: 30000, col_count: 30000, element_count: 900000000, element_sum: 13499550000000, time_min: 5439.7964, time_max: 5519.9487, time_mean: 5460.906, time_stdev: 27.963242 })
Ok(Profile { program: Program3, repetitions: 10, row_count: 30000, col_count: 30000, element_count: 900000000, element_sum: 13499550000000, time_min: 34202.863, time_max: 34459.383, time_mean: 34353.56, time_stdev: 93.581505 })
